kratica_drzave,geo_visina,geo_sirina
KAZ,51°10′N,71°26′E
MEX,19°26′N,99°08′W
CAN,45°24′N,75°40′W
SRB,44°48′N,20°28′E
AUS,35°18′29″S,149°07′28″E
GDR,,
CHN,39°55′N,116°23′E
KOR,37°33′N,126°58′E
BAH,25°4′N,77°20′W
POR,38°46′N,9°9′W
TCH,50°05′N,14°25′E
JAM,17°58′17″N,76°47′35″W
FIN,60°10′N,24°56′E
FRG,,
USA,38°53′N,77°01′W
GEQ,3°45′N,8°47′E
RUS,55°45′N,37°37′E
JPN,35°41′N,139°46′E
FRA,48°51′N,2°21′E
SUI,46°57′N,7°27′E
GUA,14°38′N,90°30′W
EGY,30°2′N,31°13′E
BRA,15°47′S,47°52′W
BRN,26°13′N,50°35′E
BOT,24°39.5′S,25°54.5′E
UKR,49°N,32°E
QAT,25°18′N,51°31′E
GRE,37°58′N,23°43′E
BEL,50°51′N,4°21′E
NZL,41°18′S,174°47′E
MYA,19°45′N,96°6′E
MYA,19°45′N,96°6′E
HUN,47°26′N,19°15′E
TRI,10°40′0″N,61°30′27″W
TRI,10°40′0″N,61°30′27″W
URS,55°45′N,37°37′E
YUG,44°49′N,20°27′E
IND,28°36′50″N,77°12′30″E
KEN,1°16′S,36°48′E
COM,11°41′S,43°16′E
RSA,30°S,25°E
ETH,9°1′N,38°45′E
MDA,47°0′N,28°55′E
ESP,40°26′N,3°42′W
NGR,9°4′N,7°29′E
PAK,33°41′30″N,73°03′00″E
DEN,55°43′N,12°34′E
GER,52°31′N,13°23′E
MKD,42°0′N,21°26′E
POL,52°13′N,21°02′E
ARG,34°36′S,58°23′W
CUB,23°8′N,82°23′W
ALG,36°42′N,3°13′E
ZAI,,
ITA,41°54′N,12°29′E
SWE,59°21′N,18°4′E
PER,12°2.6′S,77°1.7′W
ISR,31°47′N,35°13′E
MAR,34°02′N,6°51′W
ROU,44°25′N,26°06′E
ECU,00°9′S,78°21′W
SGP,1°17′N,103°50′E
SGP,1°17′N,103°50′E
NEP,28°10′N,84°15′E
ZIM,17°50′S,31°3′E
BLR,53°55′N,27°33′E
HAI,18°32′N,72°20′W
NED,52°22′N,4°53′E
THA,13°45′N,100°29′E
UAE,24°28′N,54°22′E
UGA,,
