igre,disciplina,mesto,ime,drzava,rezultat
Rio 2016,10000m men,1,Mohamed Farah,GBR,27:05.17
Rio 2016,10000m men,2,Paul Kipngetich Tanui,KEN,27:05.64
Rio 2016,10000m men,3,Tamirat Tola,ETH,27:06.26
Rio 2016,10000m men,4,Yigrem Demelash,ETH,27:06.27
Rio 2016,10000m men,5,Galen Rupp,USA,27:08.92
Rio 2016,10000m men,6,Joshua Kiprui Cheptegei,UGA,27:10.06
Rio 2016,10000m men,7,Bedan Karoki Muchiri,KEN,27:22.93
Rio 2016,10000m men,8,Zersenay Tadese,ERI,27:23.86
Rio 2016,10000m men,9,Nguse Amlosom,ERI,27:30.79
Rio 2016,10000m men,10,Abraham Naibei Cheroben,BRN,27:31.86
Rio 2016,10000m men,11,Geoffrey Kipsang Kamworor,KEN,27:31.94
Rio 2016,10000m men,12,Zane Robertson,NZL,27:33.67
Rio 2016,10000m men,13,Polat Kemboi Arikan,TUR,27:35.50
Rio 2016,10000m men,14,Leonard Essau Korir,USA,27:35.65
Rio 2016,10000m men,15,Abadi Hadis,ETH,27:36.34
Rio 2016,10000m men,16,David Mcneill,AUS,27:51.71
Rio 2016,10000m men,17,Suguru Osako,JPN,27:51.94
Rio 2016,10000m men,18,Stephen Mokoka,RSA,27:54.57
Rio 2016,10000m men,19,Shadrack Kipchirchir,USA,27:58.32
Rio 2016,10000m men,20,Bashir Abdi,BEL,28:01.49
Rio 2016,10000m men,21,Luis Ostos,PER,28:02.03
Rio 2016,10000m men,22,Moses Martin Kurong,UGA,28:03.38
Rio 2016,10000m men,23,Timothy Toroitich,UGA,28:04.84
Rio 2016,10000m men,24,Goitom Kifle,ERI,28:15.99
Rio 2016,10000m men,25,Andrew Vernon,GBR,28:19.36
Rio 2016,10000m men,26,El Hassan Elabbassi,BRN,28:20.17
Rio 2016,10000m men,27,Olivier Irabaruta 1,BDI,28:32.75
Rio 2016,10000m men,28,Ben St Lawrence,AUS,28:46.32
Rio 2016,10000m men,29,Yuta Shitara,JPN,28:55.23
Rio 2016,10000m men,30,Kota Murayama,JPN,29:02.51
Rio 2016,10000m men,31,Ross Millington,GBR,29:14.95
Rio 2016,10000m men,32,Mohammed Ahmed,CAN,29:32.84
Rio 2016,100m men,1,Usain Bolt,JAM,9.81
Rio 2016,100m men,2,Justin Gatlin,USA,9.89
Rio 2016,100m men,3,Andre De Grasse,CAN,9.91
Rio 2016,100m men,4,Yohan Blake,JAM,9.93
Rio 2016,100m men,5,Akani Simbine,RSA,9.94
Rio 2016,100m men,6,Ben Youssef Meite,CIV,9.96
Rio 2016,100m men,7,Jimmy Vicaut,FRA,10.04
Rio 2016,100m men,8,Trayvon Bromell,USA,10.06
Rio 2016,110m hurdles men,1,Omar Mcleod,JAM,13.05
Rio 2016,110m hurdles men,2,Orlando Ortega 1,ESP,13.17
Rio 2016,110m hurdles men,3,Dimitri Bascou,FRA,13.24
Rio 2016,110m hurdles men,4,Pascal Martinot Lagarde,FRA,13.29
Rio 2016,110m hurdles men,5,Devon Allen,USA,13.31
Rio 2016,110m hurdles men,6,Johnathan Cabral,CAN,13.40
Rio 2016,110m hurdles men,7,Milan Trajkovic,CYP,13.41
Rio 2016,1500m men,1,Matthew Centrowitz,USA,3:50.00
Rio 2016,1500m men,2,Taoufik Makhloufi,ALG,3:50.11
Rio 2016,1500m men,3,Nicholas Willis,NZL,3:50.24
Rio 2016,1500m men,4,Ayanleh Souleiman,DJI,3:50.29
Rio 2016,1500m men,5,Abdalaati Iguider,MAR,3:50.58
Rio 2016,1500m men,6,Asbel Kipruto Kiprop,KEN,3:50.87
Rio 2016,1500m men,7,David Bustos,ESP,3:51.06
Rio 2016,1500m men,8,Ben Blankenship,USA,3:51.09
Rio 2016,1500m men,9,Ryan Gregson,AUS,3:51.39
Rio 2016,1500m men,10,Nathan Brannen,CAN,3:51.45
Rio 2016,1500m men,11,Ronald Musagala,UGA,3:51.68
Rio 2016,1500m men,12,Charlie Grice,GBR,3:51.73
Rio 2016,1500m men,13,Ronald Kwemoi,KEN,3:56.76
Rio 2016,200m men,1,Usain Bolt,JAM,19.78
Rio 2016,200m men,2,Andre De Grasse,CAN,20.02
Rio 2016,200m men,3,Christophe Lemaitre,FRA,20.12
Rio 2016,200m men,4,Adam Gemili,GBR,20.12
Rio 2016,200m men,5,Churandy Martina,NED,20.13
Rio 2016,200m men,6,Lashawn Merritt,USA,20.19
Rio 2016,200m men,7,Alonso Edward,PAN,20.23
Rio 2016,200m men,8,Ramil Guliyev 1,TUR,20.43
Rio 2016,20km walk men,1,Zhen Wang 1,CHN,1:19:14
Rio 2016,20km walk men,2,Zelin Cai,CHN,1:19:26
Rio 2016,20km walk men,3,Dane Bird Smith,AUS,1:19:37
Rio 2016,20km walk men,4,Caio Bonfim,BRA,1:19:42
Rio 2016,20km walk men,5,Christopher Linke,GER,1:20:00
Rio 2016,20km walk men,6,Tom Bosworth,GBR,1:20:13
Rio 2016,20km walk men,7,Daisuke Matsunaga,JPN,1:20:22
Rio 2016,20km walk men,8,Matteo Giupponi,ITA,1:20:27
Rio 2016,20km walk men,9,Manuel Esteban Soto,COL,1:20:36
Rio 2016,20km walk men,10,Evan Dunfee,CAN,1:20:49
Rio 2016,20km walk men,11,Miguel Angel Lopez,ESP,1:20:58
Rio 2016,20km walk men,12,Inaki Gomez 1,CAN,1:21:12
Rio 2016,20km walk men,13,Manish Singh,IND,1:21:21
Rio 2016,20km walk men,14,Ever Palma,MEX,1:21:24
Rio 2016,20km walk men,15,Eider Arevalo,COL,1:21:36
Rio 2016,20km walk men,16,Ruslan Dmytrenko,UKR,1:21:40
Rio 2016,20km walk men,17,Hyunsub Kim,KOR,1:21:44
Rio 2016,20km walk men,18,Hagen Pohle,GER,1:21:44
Rio 2016,20km walk men,19,Jakub Bogdan Jelonek,POL,1:21:52
Rio 2016,20km walk men,20,Alexandros Papamichail,GRE,1:21:55
Rio 2016,20km walk men,21,Isamu Fujisawa,JPN,1:22:03
Rio 2016,20km walk men,22,Alvaro Martin,ESP,1:22:11
Rio 2016,20km walk men,23,Pedro Daniel Gomez,MEX,1:22:22
Rio 2016,20km walk men,24,Richard Vargas,VEN,1:22:23
Rio 2016,20km walk men,25,Yerko Araya,CHI,1:22:23
Rio 2016,20km walk men,26,Marius Ziukas,LTU,1:22:27
Rio 2016,20km walk men,27,Benjamin Thorne,CAN,1:22:28
Rio 2016,20km walk men,28,Mate Helebrandt,HUN,1:22:31
Rio 2016,20km walk men,29,Luis Fernando Lopez,COL,1:22:32
Rio 2016,20km walk men,30,Ersin Tacir,TUR,1:22:53
Rio 2016,20km walk men,31,Joao Vieira,POR,1:23:03
Rio 2016,20km walk men,32,Anton Kucmin 1,SVK,1:23:17
Rio 2016,20km walk men,33,Rhydian Cowley,AUS,1:23:30
Rio 2016,20km walk men,34,Georgiy Sheiko,KAZ,1:23:31
Rio 2016,20km walk men,35,Igor Glavan,UKR,1:23:32
Rio 2016,20km walk men,36,Hassanine Sebei 1,TUN,1:23:44
Rio 2016,20km walk men,37,Brian Pintado,ECU,1:23:44
