ime,datum
Sergey Zassimovich,11.03.1986
Noe Hernandez,15.03.1978
Clarence Nicholas Saunders,14.09.1963
Deborah Brill,10.03.1953
Goran Nava,15.04.1981
Rod De Highden,15.01.1969
Jutta Kirst,10.11.1954
Arthur Robert Mills,11.05.1895
Lei Li,09.10.1974
Mi Kyong Kim,19.02.1967
Jackie Edwards,14.04.1971
Aniceto Simoes,08.09.1945
Artem Kosinov,31.07.1986
Stepanka Mertova,11.12.1930
Asafa Powell,23.11.1982
Markku Juhani Kukkoaho,11.11.1946
Gunther Mielke,30.11.1942
Ivan Riley,31.12.1900
Reina Flor Okori 1,02.05.1980
Maria Abakumova,15.01.1986
Zensaku Motegi 1,
Paulette Laurent,08.03.1926
Constant Bucher,06.02.1900
Helder Oliveira,13.09.1960
Evelyn Ashford,15.04.1957
Al Bates,24.04.1905
Shigeru Aburaya,08.02.1977
Jeff Hartwig,25.09.1967
Jose Victor Alonzo Alonzo,01.05.1959
Mohamed Fathalla Difallah,26.08.1987
Uhunoma Osazuwa,23.11.1987
Sergio Galdino Vieira,07.05.1969
Fernand Kolbeck,11.10.1944
Rainer Pottel,29.08.1953
Saad Mubarak Ali Ali,18.09.1960
Isaac Makwala,24.09.1985
Vitali Popovych,22.10.1962
Mohamad Al Garni,02.07.1992
Evangelos Damaskos,
Irina Belova,17.02.1968
Henri Haest,02.11.1926
Brent Newdick,31.01.1985
William Procter Remington,13.03.1879
Dmytro Glushchenko,17.02.1981
Thein Hla,25.04.1944
Gyorgyi Balogh Szomov,01.05.1948
Eamon Fitzgerald,
Scott Ferrier,12.06.1974
Gejza Valent,03.10.1953
Ato Modibo,19.06.1979
James Ball,07.05.1903
Kellie Suttle,09.05.1973
Venissa Head,01.09.1956
Jaak Uudmae,03.09.1954
Lynn Marie Nelson,08.01.1962
Lucijano Susanj,10.11.1948
Igor Spasovkhodskiy,01.08.1979
George Rhoden,13.12.1926
M Hingh,01.01.1888
Harbans Lal,11.04.1938
Clarisse Cruz,09.07.1978
Naomi Mugo,02.01.1977
Kitei Son,29.08.1912
William Koech,02.12.1961
